Unnamed: 0.1,Unnamed: 0,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
177,TAG,TagCoin,Scrypt,True,PoW/PoS,,1000000
178,TAK,TakCoin,SHA-256,True,PoW/PoS,,7515187520
179,TES,TeslaCoin,Multiple,True,PoS,80260463.7331396,100000000
180,TGC,TigerCoin,SHA-256,True,PoW,43536800.0,47011968
181,TIT,TittieCoin,PHI1612,True,PoS,1622326490.46336,2300000000
182,TOR,TorCoin,X11,True,PoW/PoS,1431851.00002479,10000000
183,TRC,TerraCoin,SHA-256,True,PoW,22935396.0,42000000
184,TITC,TitCoin,Scrypt,True,PoW,,1000000
185,ULTC,Umbrella,SHA-256,True,PoW,0.0,2625000
186,UNB,UnbreakableCoin,SHA-256,True,PoW,2278150.0,80000000
187,UNO,Unobtanium,SHA-256,True,PoW,200911.79151896,250000
188,URO,UroCoin,X11,True,PoW,1207310.0,0
189,USDE,UnitaryStatus Dollar,Scrypt,True,PoW/PoS,1098952592.6,1600000000
190,UTC,UltraCoin,Scrypt,True,PoW/PoS,50235211.141939,100000000
191,UTIL,Utility Coin,X13,True,PoW/PoS,0.0,0
192,VDO,VidioCoin,X11,True,PoW/PoS,,0
193,VIA,ViaCoin,Scrypt,True,PoW,23150892.1679687,23000000
194,VOOT,VootCoin,X11,True,PoW,0.0,0
195,VRC,VeriCoin,Scrypt,True,PoST,32021108.4136696,0
196,VTC,Vertcoin,Lyra2REv2,True,PoW,51173723.8166347,84000000
197,WDC,WorldCoin,Scrypt,True,PoW,119606941.0,265420800
198,XAI,SapienceCoin,X11,True,PoB/PoS,,0
199,XBOT,SocialXbotCoin,Scrypt,True,PoW/PoS,0.0,2000000
200,XC,X11 Coin,X11,True,PoW/PoS,6950831.0970606,5500000
201,XCSH,Xcash,Scrypt,False,PoW/PoS,,2400000
202,XCR,Crypti,Multiple,True,PoS,100000000.0,0
203,XJO,JouleCoin,SHA-256,True,PoW,39195739.362088,45000000
204,XLB,LibertyCoin,X11,True,PoW/PoS,,16500000
205,XST,StealthCoin,X13,True,PoW/PoS,33093725.4123502,0
206,XXX,XXXCoin,Scrypt,True,PoW/PoS,0.0,50000000
207,YAC,YAcCoin,Scrypt,True,PoW,,2000000000
208,ZCC,ZCC Coin,Scrypt,True,PoW/PoS,147990237.978331,1000000000
209,ZED,ZedCoins,Scrypt,True,PoW,,120000000
210,BCN,ByteCoin,CryptoNight,True,PoW,184066828814.0,184467440735
211,EKN,Elektron,X13,True,PoW/PoS,,3000000
212,XDN,DigitalNote ,CryptoNight,True,PoW,6906587610.38292,10000000000
213,XAU,XauCoin,SHA-256,True,PoW,,2100000
214,BURST,BurstCoin,Shabal256,True,PoC,1813033920.0,2158812800
215,SJCX,StorjCoin,Counterparty,True,PoS,51173144.0,500000000
216,HUGE,BigCoin,Blake,True,PoW,,164429865
217,007,007 coin,Scrypt,True,PoW,,989800
218,MONA,MonaCoin,Scrypt,True,PoW,68194674.8711679,105120000
219,TEK,TekCoin,SHA-256,True,PoW/PoS,,100000000
220,NTRN,Neutron,SHA-256,True,PoW/PoS,39121694.0,68000000
221,SLING,Sling Coin,SHA-256,True,PoW,0.0,1000000
222,XSI,Stability Shares,Scrypt,True,PoW/PoS,,15000000
223,KTK,KryptCoin,Scrypt,True,PoS,0.0,17000000
224,FAIR,FairCoin,Groestl,True,PoW/PoS,53193831.0,0
225,NLG,Gulden,Scrypt,True,PoW,415032420.0,1680000000
226,RBY,RubyCoin,Scrypt,True,PoS,27184490.3918338,0
227,PTC,PesetaCoin,Scrypt,True,PoW,137517654.41397,166386000
228,KORE,Kore,X13,True,PoW/PoS,2022464.886973,12000000
229,WBB,Wild Beast Coin,Scrypt,True,PoW,181919.2435974,2628000
230,SSD,Sonic Screw Driver Coin,SHA-256,True,PoW/PoS,,0
231,NOTE,Dnotes,Scrypt,True,PoS,174646113.934655,500000000
232,FLO,Flo,Scrypt,True,PoW,152270664.860648,160000000
233,MMXIV,MaieutiCoin,SHA-256,True,PoS,0.0,2014
234,8BIT,8BIT Coin,Scrypt,True,PoW/PoS,1467841.0,0
235,STV,Sativa Coin,X13,True,PoW/PoS,7096834.0,10000000
236,AM,AeroMe,X13,True,PoW/PoS,0.0,12000000
237,NKT,NakomotoDark,X11,True,PoW/PoS,,0
238,GHC,GhostCoin,Scrypt,True,PoW/PoS,,750000000
239,ABY,ArtByte,Scrypt,True,PoW,792537250.0,1000000000
240,MTR,MasterTraderCoin,X11,True,PoW/PoS,0.0,10110000
241,BCR,BitCredit,Momentum,True,PoW,0.0,210000000
242,XPB,Pebble Coin,CryptoNight,True,PoW,,0
243,XDQ,Dirac Coin,Blake,True,PoW,,2272800
244,FLDC,Folding Coin,Stanford Folding,True,PoW,719416990.0,1000000000
245,SMAC,Social Media Coin,X11,True,PoW/PoS,,0
246,U,Ucoin,X11,True,PoS,2689812.0,20000000
247,UIS,Unitus,Multiple,True,PoW,65113302.0,0
248,CYP,CypherPunkCoin,QuBit,True,PoW,6365285.0,0
249,QBK,QuBuck Coin,X13,True,PoS/PoB,,0
250,MARYJ,MaryJane Coin,X15,True,PoW/PoS,0.0,0
251,OMC,OmniCron,Scrypt,True,PoW,10140044.4430293,3371337
252,GIG,GigCoin,X11,True,PoW,,0
253,CC,CyberCoin,Scrypt,True,PoW/PoS,0.0,0
254,VTR,Vtorrent,Scrypt,True,PoW/PoS,11604722.0,20000000
255,METAL,MetalCoin,Scrypt,True,PoW,,0
256,GRE,GreenCoin,Scrypt,True,PoW,4610340640.89,10000000000
257,XG,XG Sports,XG Hash,True,PoW/PoS,,0
258,CHILD,ChildCoin,X11,True,PoW,,2000000
259,MINE,Instamine Nuggets,Scrypt,True,PoW,,21649485
260,ROS,ROS Coin,X11,True,PoW/PoS,,0
261,UNAT,Unattanium,SHA-256,True,PoW,0.0,0
262,GAIA,GAIA Platform,X11,True,PoS,,24000000
263,XCN,Cryptonite,M7 POW,True,PoW,708506520.0,1840000000
264,GMC,Gridmaster,Scrypt,True,PoW,0.0,84000000
265,MMC,MemoryCoin,Multiple,True,PoW,,10000000
266,CYC,ConSpiracy Coin ,X11,True,PoW,0.0,33000000
267,MSC,MasterCoin,Scrypt,True,PoW,619478.0,619478
268,EGG,EggCoin,Scrypt,True,PoW/PoS,,3891
269,CAMC,Camcoin,X11,False,PoW/PoS,,10000000
270,RBR,Ribbit Rewards,Multiple,True,PoW,,1000000000
271,ICASH,ICASH,X11,True,PoW,,1000000
272,NODE,Node,Curve25519,True,PoA,,1000000000
273,SOON,SoonCoin,SHA-256,True,PoW,12462620.0,21000000
274,BTMI,BitMiles,Scrypt,True,PoW,,4832660000
275,EVENT,Event Token,Scrypt,True,PoW/PoS,,0
276,1CR,1Credit,Scrypt,True,PoW,88213.0,92000000000
277,VIOR,ViorCoin,Scrypt,True,PoW/PoS,0.0,0
278,VMC,VirtualMining Coin,Scrypt-n,True,PoW,,1000000
279,MARSC,MarsCoin,X11,False,PoW,,33000000
280,EQM,Equilibrium Coin,SHA-256,True,PoW/PoS,,0
281,ISL,IslaCoin,X11,True,PoW/PoS,1513704.0,0
282,QSLV,Quicksilver coin,X11,True,PoW,0.0,33000000
283,XNA,DeOxyRibose,X11,True,PoS,,0
284,SKB,SkullBuzz,SHA-256,True,PoS,,0
285,FCS,CryptoFocus,X11,True,PoW/PoS,,0
286,NXS,Nexus,SHA3,True,PoW/nPoS,63657220.0,78000000
287,EAGS,EagsCoin,X11,True,PoW/PoS,,20445500
288,MWC,MultiWallet Coin,X11,True,PoW/PoS,,0
289,MARS,MarsCoin ,X11,True,PoW,32221574.820996,33000000
290,XMS,Megastake,X11,True,PoW/PoS,,0
291,SIGU,Singular,Scrypt,True,PoW/PoS,0.0,0
292,M1,SupplyShock,X13,True,PoW/PoS,,0
293,DB,DarkBit,Scrypt,True,PoW/PoS,,0
294,CTO,Crypto,Lyra2RE,True,PoW,13742738.0,65789100
295,BITL,BitLux,X11,False,PoW/PoS,,0
296,FUTC,FutCoin,X13,True,PoW/PoS,,0
297,TAM,TamaGucci,Scrypt,True,PoW/PoS/PoC,,5300000
298,MRP,MorpheusCoin,X11,True,PoW,,3400000
299,XFC,Forever Coin,X11,True,PoS,,210000000
300,NANAS,BananaBits,Scrypt,True,PoW/PoS,,0
301,ACP,Anarchists Prime,SHA-256,True,PoW,14747200.0002,53760000
302,DRZ,Droidz,QUAIT,True,PoW/PoS,8568038.35935056,5060000
303,BSC,BowsCoin,X11,True,PoW,15863837.5,21000000
304,DRKT,DarkTron,SHA-256,True,PoW/PoS,,1500000
305,CIRC,CryptoCircuits,vDPOS,True,PoS,0.0,0
306,EPY,Empyrean,Scrypt,True,PoW,,100000
307,SQL,Squall Coin,X11,True,PoS/PoW,329200.01639,0
308,CHA,Charity Coin,Scrypt,True,PoW,,500000
309,MIL,Milllionaire Coin,X11,True,PoW/PoS,0.0,0
310,QTZ,Quartz,SHA-256,True,PoW/PoS,,0
311,SPC,SpinCoin,NIST5,True,PoW/PoS,,0
312,DUB,DubCoin,X15,True,PoW/PoS,,0
313,GRAV,Graviton,SHA-256,True,PoW/PoS,,0
314,HEDGE,Hedgecoin,X13,True,PoW,,33000000
315,SONG,Song Coin,Scrypt,True,PoW,32565300.0,210240000
316,XSEED,BitSeeds,SHA-256,True,PoW/PoS,,0
317,CHIP,Chip,X11,True,PoW,,0
318,SPEC,SpecCoin,Scrypt,True,PoW,,3000000000
319,SPRTS,Sprouts,SHA-256,True,PoW/PoS,,0
320,ZNY,BitZeny,Scrypt,True,PoW,75614500.0,250000000
321,DIGS,Diggits,Scrypt,True,PoS,100000000.0,100000000
322,EXP,Expanse,Ethash,True,PoW,10495278.0,16906397
323,MAPC,MapCoin,X11,True,PoS,0.0,2228921.184
324,CON,Paycon,X13,True,PoW/PoS,23042604.0,50000000
325,SC,Siacoin,Blake2b,True,PoW,33098296530.0,0
326,LYB,LyraBar,Lyra2RE,True,PoW/PoS,,0
327,EMC,Emercoin,SHA-256,True,PoW/PoS,43059794.804778,1000000000
328,BLITZ,BlitzCoin,X13,True,PoS,0.0,3852156
329,BHIRE,BitHIRE,Scrypt,False,PoS,,42000000
330,EGC,EverGreenCoin,X15,True,PoW/PoS,13530556.4180753,26298000
331,MND,MindCoin,X11,True,PoW,15867695.0,16000000
332,I0C,I0coin,SHA-256,True,PoW,20997476.8650231,21000000
333,DCR,Decred,BLAKE256,True,PoW/PoS,10365046.9281661,21000000
334,DOGED,DogeCoinDark,Scrypt,True,PoW,0.0,16500000000
335,RVR,Revolution VR,Scrypt,True,PoW,210000000.0,210000000
336,HODL,HOdlcoin,1GB AES Pattern Search,True,PoW,11448949.0,81962100
337,EDRC,EDRCoin,SHA-256,True,PoW/PoS,3669691.84494672,22000000
338,HTC,Hitcoin,X11,True,PoW/PoS,10996318099.0,26550000000
339,GAME,Gamecredits,Scrypt,True,PoW,69836100.0,84000000
340,DSH,Dashcoin,CryptoNight,True,PoW,0.0,18446744
341,DBIC,DubaiCoin,SHA-256,True,PoW/PoS,5129014.0,10500000
342,BIOS,BiosCrypto,Quark,True,PoW/PoS,0.0,20190463.54969237
343,DIEM,CarpeDiemCoin,SHA-256,True,PoW,21739971929.0,21626280000 
344,RCX,RedCrowCoin,Scrypt,True,PoW/PoS,,3966666667
345,PWR,PWR Coin,NIST5,True,PoW/PoS,10069449031.9252,0
346,TRUMP,TrumpCoin,Blake,True,PoS,0.0,12000000
347,BLRY,BillaryCoin,Scrypt,True,PoW/PoS,8998743.2411911,42000000
348,ETHS,EthereumScrypt,Scrypt,True,PoW/PoS,0.0,4200000
349,PXL,Phalanx,SHA-256,True,PoW,0.0,15000000
350,SOUL,SoulCoin,Scrypt,True,PoW/PoS,,1400000000
351,SSTC,SunShotCoin,X11,True,PoW,0.0,2250000000
352,GPU,GPU Coin,Scrypt,True,PoS,40477042.0,221052632
353,TAGR,Think And Get Rich Coin,X15,True,PoW/PoS,,30700000
354,HMP,HempCoin,Scrypt-n,True,PoW,0.0,5000000000
355,ADZ,Adzcoin,X11,True,PoW,45110324.0,84000000
356,MYC,MayaCoin,Scrypt,True,PoW/PoS,,250000000
357,VTA,VirtaCoin,Scrypt,True,PoW,0.0,21000000000
358,SOIL,SoilCoin,Dagger,True,PoW,5702048.0,30000000
359,YOC,YoCoin,Scrypt,True,PoW,636462.55983338,168351300
360,UNIT,Universal Currency,SHA-256,True,PoW/PoS,0.0,210000000
361,AEON,AEON,CryptoNight-Lite,True,PoW,0.0,18400000
362,SIB,SibCoin,X11GOST,True,PoW,17263355.0,24000000
363,ERC,EuropeCoin,X11,True,PoW/PoS,10407269.7881868,384000000
364,AIB,AdvancedInternetBlock,Scrypt,True,PoW,,314159265359
365,XDB,DragonSphere,X11,True,PoW/PoS,,21007600
366,ANTI,Anti Bitcoin,SHA-256,True,PoW,0.0,42000000
367,COLX,ColossusCoinXT,X11,True,PoS,,21000000000
368,MNM,Mineum,X13,True,PoW/PoS,,10000000
369,ZEIT,ZeitCoin,Scrypt,True,PoS,36971236046.8073, 99000000000
370,CGA,Cryptographic Anomaly,Scrypt,True,PoW,,10000000000
371,SWING,SwingCoin,SHA-256,True,PoW/PoS,4377081.60953993,40000000
372,SAFEX,SafeExchangeCoin,Scrypt,True,PoC,2147483647.0,2147483647
373,NEBU,Nebuchadnezzar,PoS,True,PoS,20000000.0,20000000
374,AEC,AcesCoin,X11,True,PoS,,98000000
375,FRN,Francs,Scrypt,True,PoW,6570807.65677618,20000000
376,ADNT,Aiden,ScryptOG,False,PoW,84000000.0,84000000
377,N7,Number7,Scrypt,True,PoW,,270967742
378,CYG,Cygnus,X11,True,PoW/PoS,,25885320
379,LGBTQ,LGBTQoin,X11,True,PoW,,50000000
380,UTH,Uther,Dagger,True,PoW,,25885320
381,MPRO,MediumProject,PoS,True,PoW,,250000
382,KATZ,KATZcoin,SHA-256D,True,PoW/PoS,,100000000
383,SPM,Supreme,Scrypt,True,PoW/PoS,,88900000
384,FLX,Flash,Scrypt,True,PoW/PoS,,1000000
385,BOLI,BolivarCoin,X11,True,PoW,13654082.4987998,25000000
386,CLUD,CludCoin,Scrypt,True,PoW,,100200000
387,HVCO,High Voltage Coin,SHA-256,True,PoW/PoS,,1700000
388,GIZ,GIZMOcoin,X11,True,PoW/PoS,0.0,100000
389,FUZZ,Fuzzballs,Scrypt,True,PoW,,21000000
390,SCRT,SecretCoin,X11,True,PoW/PoS,0.0,21000000
391,XRA,Ratecoin,X11,True,PoW/PoS,134554941.15119,75000000
392,XNX,XanaxCoin,Scrypt,True,PoW,,42000000
393,DBG,Digital Bullion Gold,PoS,True,PoS,0.0,15000000
394,WMC,WMCoin,X11,True,PoS,,1000000000
395,GOTX,GothicCoin,Scrypt,True,PoW,,313333333
396,SHREK,ShrekCoin,Scrypt,True,PoW/PoS,,1246000000
397,REV,Revenu,SHA-256,True,PoW/PoS,1195525.0,222725000
398,PBC,PabyosiCoin,X11,True,PoW/PoS,,31500000000
399,OBS,Obscurebay,X11,True,PoW/PoS,,6562000
400,EXIT,ExitCoin,Scrypt,True,PoW/PoS,,756000000
401,EDUC,EducoinV,Scrypt,True,PoW/PoS,,99000000
402,CLINT,Clinton,SHA-256,True,PoW,0.0,2421227
403,CKC,Clockcoin,SHA-256,True,PoW/PoS,16662820.0,525000000
404,VIP,VIP Tokens,NIST5,True,PoW/PoS,83450403.0,90000000
